"run","num_revs","length","diversity_mean","diversity_sd","mean_unique_length","mean_within_rev_uni_ent","sd_within_rev_uni_ent","mean_within_rev_info","sd_within_rev_info","mean_across_rev_uni_ent","sd_across_rev_uni_ent","mean_across_rev_info","sd_across_rev_info","within_reviewer_sd_ent_chancap","within_reviewer_sd_info_chancap","across_reviewer_sd_ent_chancap","across_reviewer_sd_info_chancap","interconnectivity","transitivities","degrees","scale_test","betweens","centralization","nodes","edges","path_length","gini","alpha","xmin","loglik","KS.stat","KS.p"
1,2324,2128.62962962963,0.664459253578288,0.166511460149251,553.185185185185,5.27588812062344,1.17887266834027,5.82806328791913,1.55632656503449,13.3669730527947,1.03069275487106,22.3929542250226,0.754172162089977,0.614309033575711,0.154477760356074,3.11973504540283,3.74241004399539,4.62037037037037,0.307815188006881,9.24074074074074,0.0294117647058824,88.6388888888889,0.222049151955694,108,499,2.63220164609054,0.82321348887614,3.39235130035138,0.0555555555555556,17.6532964154449,0.201058434295888,0.90284546783597
2,1392,1478.88888888889,0.658253653142718,0.183118522506714,542.345679012346,5.30006818111098,1.18693844192571,5.88799817479241,1.62076815776075,13.2419473643741,1.0767051225954,22.1813239464684,0.917567255211315,0.628288026159382,0.150246017413619,3.10009422467556,3.73223370243269,1.90123456790123,0.246722288438617,3.80246913580247,0.0625,131.740740740741,0.139969135802469,81,154,4.24051211705533,0.686426848304244,2.50806696262339,0.0617283950617284,12.1843886729753,0.135164866616767,0.998584804848865
3,3070,2823.94642857143,0.638580657622906,0.190052856307902,700.660714285714,5.41423846268448,1.27664261940653,6.05897748857823,1.74342445779087,13.522493671209,1.10233551483349,22.4283088079032,0.779091899690037,0.652923899701719,0.158568471163775,3.13099869406879,3.70340754731949,3.96428571428571,0.249606051055783,7.92857142857143,0.024390243902439,94.4642857142857,0.288931788931789,112,444,2.67793367346939,0.81208701721731,2.51495208996607,0.0357142857142857,22.3841843299162,0.210547150962034,0.71405354676361
4,3063,2997.54285714286,0.658466192769471,0.185107219774875,699.428571428571,5.41848285763767,1.17880550864625,6.02361741928775,1.64412022906225,13.5996167463591,1.12417970387922,22.4789058556844,0.719280132116221,0.634844738198684,0.150938695959358,3.21979752386234,3.74901422959219,4.27619047619048,0.298429319371728,8.55238095238095,0.0192307692307692,69.6952380952381,0.408150183150183,105,449,2.31800453514739,0.817306406728541,2.19657079885154,0.0285714285714286,18.9908631198923,0.191235501171755,0.815945105378224
5,1229,1249.1976744186,0.70951985043911,0.188420555351937,390.03488372093,4.72335527508002,1.27384562874199,5.20108566239885,1.7049468457314,12.9557550138953,0.927106889074433,22.0884774096258,0.589511230255828,0.549075721775663,0.13259502301194,3.02838809527941,3.79192165977855,1.66279069767442,0.177536231884058,3.32558139534884,0.0625,113.279069767442,0.13734610123119,86,143,3.62276906435911,0.799506121444926,1.83775023382598,0.0348837209302326,7.79045053508669,0.19171581661074,0.959129842444002
6,1505,3386.36585365854,0.677735755145778,0.229126648673894,820.121951219512,5.04308550983237,1.49999628608659,5.63943192791824,2.14536662545257,13.3660432130694,1.33679941278783,22.4005989766577,0.879307804080879,0.598599603081076,0.151668066676958,3.02252933795424,3.68812071402058,1.68292682926829,0.174142480211082,3.36585365853659,0.0588235294117647,37.4390243902439,0.315853658536585,41,69,2.80190362879239,0.820873511060692,1.81932905147567,0.024390243902439,13.6425851540585,0.222222222222222,0.706688539753279
7,2313,1808.45192307692,0.663897257892857,0.193279428782564,630.278846153846,5.34967306586292,1.26894729726936,5.94019240363468,1.72765632580505,13.5514659515707,1.12375793030088,22.459757185388,0.721643131037312,0.619677418807346,0.14730754388925,3.16780000075579,3.7282826823888,3.53846153846154,0.229525862068966,7.07692307692308,0.032258064516129,90.4903846153846,0.222554144884242,104,368,2.73058431952663,0.746611959160598,2.80961381721404,0.0384615384615385,22.0847968552014,0.222222222222222,0.706688539753279
8,5179,5518.37755102041,0.537570197265646,0.208301650082515,1249.81632653061,5.89554820804969,1.19802931822449,6.85183770019034,1.84225149887902,13.84133896791,1.34934320736059,22.4153205646407,0.636446490777812,0.829028242026557,0.211610852591619,3.09204932874364,3.67206081250212,2.69387755102041,0.330668910391249,5.38775510204082,0.037037037037037,100.918367346939,0.212497370082053,98,264,3.04935443565181,0.700814907928802,2.0178999825889,0.0204081632653061,26.8937269478015,0.165828215597049,0.836070880435321
9,1086,1004,0.675237442388557,0.177477922539319,446.420454545455,5.20421975689019,1.22659655577993,5.74135769955294,1.60110450681073,13.3956169540129,0.811031793355014,22.42088014477,0.723125707318045,0.590352577554547,0.135494806260313,3.13981107850009,3.71703570864273,2.75,0.371934604904632,5.5,0.0434782608695652,111.897727272727,0.189655172413793,88,242,3.53176652892562,0.6563494056588,2.34575865661508,0.0340909090909091,22.8564976609317,0.16267472317215,0.908598037739972
10,1874,1345.11009174312,0.670839239918027,0.180326291521267,486.082568807339,5.20250240189349,1.21375298406332,5.75952778409469,1.61805945931381,13.4488929829547,1.24432118993825,22.4231065315768,0.814400744291355,0.601142246613897,0.141396731013766,3.12661132018657,3.72423047485096,4.39449541284404,0.306734137796808,8.78899082568807,0.0232558139534884,86.6238532110092,0.307509344206592,109,479,2.58025418735797,0.740181919653784,2.92981108571937,0.055045871559633,13.5342523517044,0.183393766722088,0.972622480567236
